1,5035.28,1352.6,539.022,0.268625,0.107049
1,4416.21,869.012,496.909,0.196778,0.112519
1,1423.23,863.58,503.61,0.606775,0.35385
1,842.019,391.935,0.000482619,0.465471,5.73168e-07
1,3570.28,1175.08,552.917,0.329129,0.154867
1,688.649,372.438,0.062514,0.540824,9.07777e-05
1,2602.27,670.858,363.034,0.257797,0.139507
1,4300.22,1068.34,576.725,0.248438,0.134115
1,3621.03,818.046,468.873,0.225915,0.129486
1,7747.88,1492.76,594.861,0.192667,0.0767773
2,3017.42,395.33,328.066,0.131016,0.108724
2,4192.84,260.765,170.261,0.0621929,0.0406075
2,2529.4,416.668,372.195,0.16473,0.147147
2,1237.54,335.17,279.53,0.270836,0.225876
2,2050.78,459.973,313.598,0.224292,0.152916
2,1339.38,517.262,427.182,0.386196,0.31894
3,885.863,621.544,3.10838e-05,0.701626,3.50887e-08
3,826.93,570.972,5.71162e-05,0.690472,6.90701e-08
3,1291.81,903.042,0.478634,0.699053,0.000370515
3,886.757,662.086,0.222689,0.746637,0.000251127
3,848.814,535.294,5.465e-06,0.630638,6.4384e-09
3,880.717,548.648,0.0937525,0.622955,0.00010645
4,4881.07,4842.41,2035.55,0.992079,0.417028
4,5137.46,5160.21,2108.01,1.00443,0.410322
4,5897.91,5969.73,2309.02,1.01218,0.391498
4,6402.84,5090.47,2196.39,0.795032,0.343033
4,6930.79,4655.07,2302.67,0.671652,0.332238
4,7557.73,4988.75,2252.01,0.660086,0.297974
